localizacao,descricao,detalhe_segundario,data,qtd_noites,valor,avaliacao
Apartamento em São Paulo,Studio próximo a estação de metro Giovanni Gronchi,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.027,"4,97 de uma avaliação média de 5, 35 avaliações
4,97 (35)"
Apartamento em São Paulo,Estúdio Sky Confort,"1 cama
1 cama","11 – 16 de jun.
11 – 16 de jun.",por 5 noites,R$1.229,"5,0 de uma avaliação média de 5, 35 avaliações
5,0 (35)"
Apartamento em São Paulo,Sob a ótica do 35° andar #sampasky,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.312,"4,92 de uma avaliação média de 5, 66 avaliações
4,92 (66)"
Apartamento em São Paulo,Santorini Sampa Spa: vista do 19º andar,"1 cama queen
1 cama queen","13 – 18 de jun.
13 – 18 de jun.",por 5 noites,R$3.159,"4,81 de uma avaliação média de 5, 62 avaliações
4,81 (62)"
Casa de campo em São Paulo,Casa Container em São Paulo! Petfriendly!,"Cancelamento gratuito
Cancelamento gratuito","17 – 22 de jun.
17 – 22 de jun.",por 5 noites,R$3.138,"4,91 de uma avaliação média de 5, 33 avaliações
4,91 (33)"
Apartamento em São Paulo,Studio Magnífico Aeroporto SP Expo Metrô,"Cancelamento gratuito
Cancelamento gratuito","20 – 25 de jun.
20 – 25 de jun.",por 5 noites,R$1.120,"5,0 de uma avaliação média de 5, 69 avaliações
5,0 (69)"
Apartamento em São Paulo,Garden estiloso conforto ar-condicionado e Wi-Fi,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$907,"4,85 de uma avaliação média de 5, 99 avaliações
4,85 (99)"
Casa de cúpula em Mairiporã,Domo geodésico: glamping na floresta de bambu.,"1 cama de casal
1 cama de casal","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$3.697,"4,76 de uma avaliação média de 5, 178 avaliações
4,76 (178)"
Apartamento em São Paulo,Apto Luxo no Brás / Templo de Salomão / Metrô,"1 cama queen
1 cama queen","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.107,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,"Studio - Perdizes a 8 min, Allianz e Espaço Unimed","Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$925,"5,0 de uma avaliação média de 5, 40 avaliações
5,0 (40)"
Quarto em Mairiporã,Ar do campo a 30 minutos de São Paulo e aeroporto,,"10 – 15 de jun.
10 – 15 de jun.",por 5 noites,R$1.027,"4,94 de uma avaliação média de 5, 196 avaliações
4,94 (196)"
Apartamento em São Paulo,Studio em São Paulo próximo ao metrô,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$873,"4,79 de uma avaliação média de 5, 174 avaliações
4,79 (174)"
Apartamento em São Paulo,Jacuzzi < pipoca grátis < Tv 65 < Vista < Pôr do sol,"1 cama de casal
1 cama de casal","20 – 25 de jun.
20 – 25 de jun.",por 5 noites,R$3.200,"4,92 de uma avaliação média de 5, 280 avaliações
4,92 (280)"
Apartamento em São Paulo,Casa da Vovó no #SampaSky c/ Cine HD + Banheira,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$3.120,"4,95 de uma avaliação média de 5, 21 avaliações
4,95 (21)"
Apartamento em São Paulo,BA63 Studio Premium Vila Mariana Metro Santa Cruz,"1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$947,"4,89 de uma avaliação média de 5, 18 avaliações
4,89 (18)"
Apartamento em São Paulo,Studio aconchegante com ar e excelente localização,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$964,"4,77 de uma avaliação média de 5, 97 avaliações
4,77 (97)"
Apartamento em São Paulo,"Studio Moov49, próx Metrô Brás, cozinha completa.","Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$799,"4,93 de uma avaliação média de 5, 121 avaliações
4,93 (121)"
Casa em Guarulhos,Studio 6 Luxo GRU aeroporto,"1 cama
1 cama","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$672,"4,77 de uma avaliação média de 5, 22 avaliações
4,77 (22)"
Apartamento em Guarulhos,"Aeroporto de Gru, Skyline + AR, Piscina e Academia","Cancelamento gratuito
Cancelamento gratuito","21 – 26 de jun.
21 – 26 de jun.",por 5 noites,R$1.365,"4,97 de uma avaliação média de 5, 35 avaliações
4,97 (35)"
Casa em São Roque,Loft na Mata em São Roque!,"Cancelamento gratuito
Cancelamento gratuito","7 – 12 de jul.
7 – 12 de jul.",por 5 noites,R$3.047,"5,0 de uma avaliação média de 5, 4 avaliações
5,0 (4)"
Apartamento em São Roque,"Loft em São Roque, perto da Rota do Vinho","Cancelamento gratuito
Cancelamento gratuito","3 – 8 de ago.
3 – 8 de ago.",por 5 noites,R$1.141,"4,97 de uma avaliação média de 5, 71 avaliações
4,97 (71)"
Chalé em Mairiporã,"Cachoeiras a 20 m dos chalés , Wi-Fi do Bom.","4 camas
4 camas","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$1.906,"4,96 de uma avaliação média de 5, 135 avaliações
4,96 (135)"
Casa em Mairiporã,Mansão Serra da Cantareira Mairiporã,"5 camas
5 camas","11 – 16 de jun.
11 – 16 de jun.",por 5 noites,R$10.613,"5,0 de uma avaliação média de 5, 45 avaliações
5,0 (45)"
Apartamento em São Paulo,37th do #SampaSky: Custo Benefício no Topo de SP,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.136,"4,42 de uma avaliação média de 5, 43 avaliações
4,42 (43)"
Loft em São Paulo,Encanto e aconchego de frente para o Vale!,"1 cama queen
1 cama queen","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$876,"4,94 de uma avaliação média de 5, 139 avaliações
4,94 (139)"
Apartamento em São Paulo,Studio moderno com por do sol no 27ª do Copan,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.875,"4,83 de uma avaliação média de 5, 227 avaliações
4,83 (227)"
Apartamento em São Paulo,Bela Vista - Frei Caneca,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$1.113,"4,96 de uma avaliação média de 5, 111 avaliações
4,96 (111)"
Apartamento em São Paulo,Studios alto padrão à 2 minutos Aeroporto,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.141,"4,95 de uma avaliação média de 5, 44 avaliações
4,95 (44)"
Apartamento em São Paulo,Estúdio temático no 40° andar - kombi com banheira,,"18 – 23 de jun.
18 – 23 de jun.",por 5 noites,R$2.072,"4,71 de uma avaliação média de 5, 63 avaliações
4,71 (63)"
Apartamento em São Paulo,37th do #SampaSky: Custo Benefício no Topo de SP,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.136,"4,42 de uma avaliação média de 5, 43 avaliações
4,42 (43)"
Apartamento em São Paulo,Mirante: Um studio surpreendente te espera,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$1.369,"4,96 de uma avaliação média de 5, 133 avaliações
4,96 (133)"
Apartamento em Guarulhos,"Aeroporto de Gru, Ar Condicionado,Piscina,Academia","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.195,"4,92 de uma avaliação média de 5, 61 avaliações
4,92 (61)"
Apartamento em São Paulo,Andar 41 Oficial < Jacuzzi < pipoca free < tv 65,"1 cama de casal
1 cama de casal","21 – 26 de jun.
21 – 26 de jun.",por 5 noites,R$3.102,"4,93 de uma avaliação média de 5, 273 avaliações
4,93 (273)"
Apartamento em São Paulo,Studios alto padrão à 2 minutos Aeroporto,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.141,"4,95 de uma avaliação média de 5, 44 avaliações
4,95 (44)"
Microcasa em São Roque,Farmhouse com café da manhã,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$3.000,"Novo lugar para ficar
Novo"
Casa em Jundiaí,Villas Boas House,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$665,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,Confortável e Prático -LOFT SP-,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$1.319,"5,0 de uma avaliação média de 5, 14 avaliações
5,0 (14)"
Casa de hóspedes em São Roque,São Hostel - Suite 02 - São Roque.,"1 cama de casal
1 cama de casal","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$844,"5,0 de uma avaliação média de 5, 28 avaliações
5,0 (28)"
Apartamento em São Paulo,"Decor Boho, Alma Livre e Muito Conforto","1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$885,"Novo lugar para ficar
Novo"
Pousada em São Roque,Chalé Orquídea Sítio Lar DaTerra com hidro e Café,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$5.950,"5,0 de uma avaliação média de 5, 47 avaliações
5,0 (47)"
Casa de hóspedes em Embu das Artes,suíte para até duas pessoas com piscina,"2 camas de solteiro
2 camas de solteiro","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$856,"4,89 de uma avaliação média de 5, 44 avaliações
4,89 (44)"
Contêiner de transporte em São Roque,Comtainer Da Terra Experiência e requinte na Mata!,"1 cama
1 cama","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$6.650,"4,95 de uma avaliação média de 5, 21 avaliações
4,95 (21)"
Casa em Vila Sirene,Estúdio aconchegante próx ao metro,"Cancelamento gratuito
Cancelamento gratuito","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$377,"4,83 de uma avaliação média de 5, 186 avaliações
4,83 (186)"
Apartamento em São Paulo,Charmoso Studio Brooklin/ Consulado,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.215,"4,96 de uma avaliação média de 5, 165 avaliações
4,96 (165)"
Suíte de hóspedes em São Roque,Loft amplo e confortável com lareira e jardim.,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.575,"4,9 de uma avaliação média de 5, 175 avaliações
4,9 (175)"
Microcasa em Cotia,Refúgio no paraíso,"1 cama
1 cama","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$4.051,"5,0 de uma avaliação média de 5, 4 avaliações
5,0 (4)"
Apartamento em São Paulo,Studio completo no coração de SP | República,"2 camas de solteiro
2 camas de solteiro","13 – 18 de jun.
13 – 18 de jun.",por 5 noites,R$857,"4,71 de uma avaliação média de 5, 259 avaliações
4,71 (259)"
Apartamento em São Paulo,Apto inteiro com ótima estrutura,"1 cama de casal
1 cama de casal","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.141,"4,95 de uma avaliação média de 5, 153 avaliações
4,95 (153)"
Apartamento em São Paulo,1113 - Sky Mirante/Conforto e Localização perfeita,"Cancelamento gratuito
Cancelamento gratuito","6 – 11 de jul.
6 – 11 de jul.",por 5 noites,R$605,"4,95 de uma avaliação média de 5, 19 avaliações
4,95 (19)"
Casa de veraneio em Cotia,Um Lugar encantador com ofurô ao ar livre,"1 cama de casal
1 cama de casal","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$2.568,"4,74 de uma avaliação média de 5, 99 avaliações
4,74 (99)"
Quarto em Jundiaí,Loft Duplo Moderno e Exclusivo Em Jundiaí,,"10 – 15 de jun.
10 – 15 de jun.",por 5 noites,R$685,"4,92 de uma avaliação média de 5, 25 avaliações
4,92 (25)"
Apartamento em São Paulo,Anália Franco | Studio 700m Universidade C. do Sul,"1 cama queen
1 cama queen","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.106,"5,0 de uma avaliação média de 5, 18 avaliações
5,0 (18)"
Chalé em Mairiporã,Chalé alto bucólica,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$1.792,"4,92 de uma avaliação média de 5, 159 avaliações
4,92 (159)"
Casa de hóspedes em São Roque,Casa de hóspede,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$650,"4,72 de uma avaliação média de 5, 39 avaliações
4,72 (39)"
Apartamento em São Paulo,3526 - Loft em São Paulo,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.125,"4,88 de uma avaliação média de 5, 59 avaliações
4,88 (59)"
Apartamento em São Paulo,Apartamento Twenty One Pilots Flat Paulista,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$1.218,"4,91 de uma avaliação média de 5, 65 avaliações
4,91 (65)"
Quarto em São Paulo,Quarto amplo privativo a 2 minutos da AV. Paulista,,"30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$743,"4,94 de uma avaliação média de 5, 177 avaliações
4,94 (177)"
Apartamento em São Paulo,"37 studio novo, próx ao shopping","1 cama
1 cama","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$922,"4,9 de uma avaliação média de 5, 120 avaliações
4,9 (120)"
Quarto em São Paulo,05 ※ Quarto Privativo | Metrô Santos-Imigrantes※,,"15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$424,"5,0 de uma avaliação média de 5, 51 avaliações
5,0 (51)"
Loft em República,Linda Vista Loft Centro São Paulo,"1 cama de casal
1 cama de casal","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.016,"4,82 de uma avaliação média de 5, 220 avaliações
4,82 (220)"
Apartamento em São Paulo,"Estúdio | Prédio com lazer, 1km Estação Hebraica","1 cama queen
1 cama queen","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$1.293,"4,49 de uma avaliação média de 5, 45 avaliações
4,49 (45)"
Apartamento em São Paulo,Apto Studio equipado ao lado do metrô,"2 camas
2 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.324,"4,96 de uma avaliação média de 5, 69 avaliações
4,96 (69)"
Condomínio em São Paulo,"Allianz Parque, Arena Pacaembu e o melhor de SP!","3 camas
3 camas","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$794,"4,98 de uma avaliação média de 5, 57 avaliações
4,98 (57)"
Apartamento em São Paulo,Estúdio Design Industrial com Fliperama (SampaSky),"3 camas
3 camas","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.010,"4,64 de uma avaliação média de 5, 14 avaliações
4,64 (14)"
Apartamento em Centro Histórico de São Paulo,Jacuzzi < pipoca grátis < Tv 65 < Vista < Pôr do sol,"1 cama de casal
1 cama de casal","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$4.424,"4,88 de uma avaliação média de 5, 218 avaliações
4,88 (218)"
Apartamento em São Paulo,Estúdio Design Industrial com Fliperama (SampaSky),"3 camas
3 camas","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.010,"4,64 de uma avaliação média de 5, 14 avaliações
4,64 (14)"
Apartamento em São Paulo,Studio aconchegante V. Formosa,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$690,"5,0 de uma avaliação média de 5, 6 avaliações
5,0 (6)"
Quarto de hotel em Joanópolis,Altar Ninho – Joanópolis,"2 camas
2 camas","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.871,"4,67 de uma avaliação média de 5, 6 avaliações
4,67 (6)"
Cabana em Mairiporã,chalés aconchegantes 2,"1 cama
1 cama","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$2.282,"4,82 de uma avaliação média de 5, 17 avaliações
4,82 (17)"
Apartamento em São Paulo,Apto Perdizes Novíssimo p Allianz e Hosp Einstein,"2 camas
2 camas","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$954,"5,0 de uma avaliação média de 5, 5 avaliações
5,0 (5)"
Quarto em Guarulhos,Quarto 15min perto Aeroporto Gru,,"2 – 7 de jul.
2 – 7 de jul.",por 5 noites,R$496,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,Studio adaptado PNE próximo à PUC e Allianz Parque,"1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$839,"4,61 de uma avaliação média de 5, 122 avaliações
4,61 (122)"
Apartamento em São Paulo,Belo studio na charmosa Pompéia,"1 cama de casal
1 cama de casal","27 de jun. – 2 de jul.
27 de jun. – 2 de jul.",por 5 noites,R$912,"4,74 de uma avaliação média de 5, 39 avaliações
4,74 (39)"
Apartamento em São Paulo,Refrescante Studio no Metrô Belém/Ar Condicionado,"1 cama de casal
1 cama de casal","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$565,"4,64 de uma avaliação média de 5, 58 avaliações
4,64 (58)"
Apartamento em Centro Histórico de São Paulo,Jacuzzi < pipoca grátis < Tv 65 < Vista < Pôr do sol,"1 cama de casal
1 cama de casal","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$4.424,"4,88 de uma avaliação média de 5, 218 avaliações
4,88 (218)"
Apartamento em São Paulo,Viva o Luxo e Conforto do Novo AD 330 – Apartament,"1 cama de casal
1 cama de casal","11 – 16 de jun.
11 – 16 de jun.",por 5 noites,R$1.181,"4,92 de uma avaliação média de 5, 12 avaliações
4,92 (12)"
Condomínio em São Paulo,Studio Praça Tatuapé,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$850,"4,88 de uma avaliação média de 5, 8 avaliações
4,88 (8)"
Lugar para ficar em Brooklin,G HOME | Brooklin • Texas • Quarto 4,"Cancelamento gratuito
Cancelamento gratuito","17 – 22 de jun.
17 – 22 de jun.",por 5 noites,R$507,"4,8 de uma avaliação média de 5, 123 avaliações
4,8 (123)"
Apartamento em São Paulo,Grande Apartamento C/Piscina - Metrô Brás,"3 camas
3 camas","12 – 17 de jun.
12 – 17 de jun.",por 5 noites,R$728,"Novo lugar para ficar
Novo"
Quarto em Chácara Malota,Casa da Dani,,"22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$421,"4,93 de uma avaliação média de 5, 168 avaliações
4,93 (168)"
Apartamento em Centro Histórico de São Paulo,1025 - Um lugar aconchegante!,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$747,"4,76 de uma avaliação média de 5, 82 avaliações
4,76 (82)"
Hotel em São Paulo,Quarto Vila Olímpia * AR/C * SmartTV * Localização,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$523,"4,85 de uma avaliação média de 5, 142 avaliações
4,85 (142)"
Quarto em Santana de Parnaíba,Tanq House - Quarto Individual,,"15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$388,"Novo lugar para ficar
Novo"
Quarto em Santana de Parnaíba,Tanq House - Quarto Individual,,"15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$388,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,Apto I Wecasa no Brás com Piscina - Metrô Pedro II,"4 camas
4 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$742,"4,56 de uma avaliação média de 5, 16 avaliações
4,56 (16)"
Apartamento em São Paulo,"Studio fácil acesso: Puc, Allianz e espaco Unimed","Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.278,"4,99 de uma avaliação média de 5, 75 avaliações
4,99 (75)"
Condomínio em São Paulo,Studio76 - SP - Expo Imigrantes - Metrô - Garagem,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$1.021,"4,97 de uma avaliação média de 5, 143 avaliações
4,97 (143)"
Condomínio em São Paulo,Estúdio Garden em Santana - Metrô/ExpoCenterNorte,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.154,"4,96 de uma avaliação média de 5, 47 avaliações
4,96 (47)"
Loft em São Paulo,"Aconchegante, #SampaSky, Cozinha 100%, 25 de Março","2 camas
2 camas","16 – 21 de jun.
16 – 21 de jun.",por 5 noites,R$1.137,"4,97 de uma avaliação média de 5, 93 avaliações
4,97 (93)"
Apartamento em São Roque,Apartamento no roteiro do vinho,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.917,"4,96 de uma avaliação média de 5, 81 avaliações
4,96 (81)"
Apartamento em São Paulo,Elegância e conforto na Paulista - 2407,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.501,"5,0 de uma avaliação média de 5, 36 avaliações
5,0 (36)"
Apartamento em São Paulo,Studio novo em São Paulo próximo ao metrô,"Cancelamento gratuito
Cancelamento gratuito","18 – 23 de jul.
18 – 23 de jul.",por 5 noites,R$947,"4,89 de uma avaliação média de 5, 334 avaliações
4,89 (334)"
Apartamento em São Paulo,Ap 12° andar 300mts do metrô Barra Funda,"2 camas
2 camas","17 – 22 de jun.
17 – 22 de jun.",por 5 noites,R$1.198,"5,0 de uma avaliação média de 5, 84 avaliações
5,0 (84)"
Loft em São Paulo,Loft-Ateliê: 75m2 de charme e bossa nas alturas!,"Cancelamento gratuito
Cancelamento gratuito","20 – 25 de jun.
20 – 25 de jun.",por 5 noites,R$1.906,"4,94 de uma avaliação média de 5, 52 avaliações
4,94 (52)"
Loft em Perdizes,Belíssimo Studio Perdizes,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$1.175,"4,95 de uma avaliação média de 5, 269 avaliações
4,95 (269)"
Apartamento em São Paulo,Studio Aconchegante Próx a Av Paulista e Sirio,"1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$915,"Novo lugar para ficar
Novo"
Albergue em São Paulo,Quarto c/ Netflix - Vila Olímpia - A44,"Cancelamento gratuito
Cancelamento gratuito","14 – 19 de jun.
14 – 19 de jun.",por 5 noites,R$534,"5,0 de uma avaliação média de 5, 63 avaliações
5,0 (63)"
Apartamento em São Paulo,Studio aconchegante,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.101,"4,93 de uma avaliação média de 5, 28 avaliações
4,93 (28)"
Apartamento em São Paulo,AP44- Apartamento Luxo Prox. Metrô / CGH / SP EXPO,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.027,"4,86 de uma avaliação média de 5, 14 avaliações
4,86 (14)"
Apartamento em São Paulo,Studio top com vista para cidade,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$884,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Chalé em São Roque,Recanto Góes Machado! Quarto Lucas,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.705,"5,0 de uma avaliação média de 5, 15 avaliações
5,0 (15)"
Apartamento em São Paulo,Studio Aconchegante Próx a Av Paulista e Sirio,"1 cama de casal
1 cama de casal","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$915,"Novo lugar para ficar
Novo"
Apartamento em São Paulo,Studio aconchegante,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.101,"4,93 de uma avaliação média de 5, 28 avaliações
4,93 (28)"
Apartamento em São Paulo,Ap 12° andar 300mts do metrô Barra Funda,"2 camas
2 camas","17 – 22 de jun.
17 – 22 de jun.",por 5 noites,R$1.198,"5,0 de uma avaliação média de 5, 84 avaliações
5,0 (84)"
Apartamento em São Paulo,Studio top com vista para cidade,"Cancelamento gratuito
Cancelamento gratuito","30 de jun. – 5 de jul.
30 de jun. – 5 de jul.",por 5 noites,R$884,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,AP44- Apartamento Luxo Prox. Metrô / CGH / SP EXPO,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.027,"4,86 de uma avaliação média de 5, 14 avaliações
4,86 (14)"
Condomínio em São Paulo,"SP Elegante Rodoviária/Metrô,ExpoCenterNorte/Wi-Fi","Cancelamento gratuito
Cancelamento gratuito","26 de jun. – 1 de jul.
26 de jun. – 1 de jul.",por 5 noites,R$935,"4,87 de uma avaliação média de 5, 67 avaliações
4,87 (67)"
Chalé em São Roque,Recanto Góes Machado! Quarto Lucas,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.705,"5,0 de uma avaliação média de 5, 15 avaliações
5,0 (15)"
Apartamento em São Paulo,Flat inspirado da Série Friends Próx. da Paulista,"Cancelamento gratuito
Cancelamento gratuito","15 – 20 de jun.
15 – 20 de jun.",por 5 noites,R$1.568,"4,8 de uma avaliação média de 5, 393 avaliações
4,8 (393)"
Casa em São Roque,Loft D'Coração,"2 camas
2 camas","9 – 14 de jun.
9 – 14 de jun.",por 5 noites,R$1.232,"5,0 de uma avaliação média de 5, 3 avaliações
5,0 (3)"
Apartamento em São Paulo,Novo Studio no SP Center!,"Cancelamento gratuito
Cancelamento gratuito","23 – 28 de jun.
23 – 28 de jun.",por 5 noites,R$873,"4,87 de uma avaliação média de 5, 238 avaliações
4,87 (238)"
Apartamento em São Paulo,Queridinho de Santana/AR/TerRod/Metrô/ExpoCN/WiFi,"Cancelamento gratuito
Cancelamento gratuito","27 de jun. – 2 de jul.
27 de jun. – 2 de jul.",por 5 noites,R$1.119,"4,95 de uma avaliação média de 5, 87 avaliações
4,95 (87)"
Apartamento em Guarulhos,"Aeroporto de Gru, Ar Condicionado,Piscina+Academia","Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.285,"4,98 de uma avaliação média de 5, 103 avaliações
4,98 (103)"
Apartamento em São Paulo,Ascent Paulista | 50 m² | Jardim gourmet,"Cancelamento gratuito
Cancelamento gratuito","29 de jun. – 4 de jul.
29 de jun. – 4 de jul.",por 5 noites,R$1.373,"5,0 de uma avaliação média de 5, 6 avaliações
5,0 (6)"
Cabana em São Roque,Cabana Malbec São Roque,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$2.707,"4,96 de uma avaliação média de 5, 77 avaliações
4,96 (77)"
Apartamento em São Paulo,Studio aconchegante São Paulo!,"Cancelamento gratuito
Cancelamento gratuito","22 – 27 de jun.
22 – 27 de jun.",por 5 noites,R$1.512,"4,98 de uma avaliação média de 5, 64 avaliações
4,98 (64)"
